Track,Driver,Best Strategy (Degradation),Two-stop Win Prob (Deg),Best Strategy (Full Sim),Two-stop Win Prob (Full),Strategy Match
Monaco,Max Verstappen,Two-stop,0.9666666666666667,Two-stop,0.9983333333333333,True
Monaco,Lewis Hamilton,Two-stop,0.9353333333333333,Two-stop,0.996,True
Monaco,Charles Leclerc,Two-stop,0.9693333333333334,Two-stop,0.9983333333333333,True
Monaco,Carlos Sainz,Two-stop,0.9466666666666667,Two-stop,0.9973333333333333,True
Monaco,Lando Norris,Two-stop,0.9496666666666667,Two-stop,0.998,True
Monaco,Sergio Pérez,Two-stop,0.9413333333333334,Two-stop,0.996,True
Monaco,George Russell,Two-stop,0.9526666666666667,Two-stop,0.9963333333333333,True
Monaco,Fernando Alonso,Two-stop,0.935,Two-stop,0.9963333333333333,True
Monaco,Esteban Ocon,Two-stop,0.9526666666666667,Two-stop,0.9956666666666667,True
Monaco,Pierre Gasly,Two-stop,0.95,Two-stop,0.9976666666666667,True
Singapore,Max Verstappen,Two-stop,0.998,Two-stop,1.0,True
Singapore,Lewis Hamilton,Two-stop,0.9903333333333333,Two-stop,0.9996666666666667,True
Singapore,Charles Leclerc,Two-stop,0.9973333333333333,Two-stop,0.9996666666666667,True
Singapore,Carlos Sainz,Two-stop,0.996,Two-stop,0.9996666666666667,True
Singapore,Lando Norris,Two-stop,0.996,Two-stop,1.0,True
Singapore,Sergio Pérez,Two-stop,0.9906666666666667,Two-stop,1.0,True
Singapore,George Russell,Two-stop,0.994,Two-stop,1.0,True
Singapore,Fernando Alonso,Two-stop,0.9876666666666667,Two-stop,1.0,True
Singapore,Esteban Ocon,Two-stop,0.9973333333333333,Two-stop,1.0,True
Singapore,Pierre Gasly,Two-stop,0.996,Two-stop,1.0,True
Baku,Max Verstappen,Two-stop,0.981,Two-stop,1.0,True
Baku,Lewis Hamilton,Two-stop,0.956,Two-stop,0.9993333333333333,True
Baku,Charles Leclerc,Two-stop,0.9856666666666667,Two-stop,1.0,True
Baku,Carlos Sainz,Two-stop,0.975,Two-stop,1.0,True
Baku,Lando Norris,Two-stop,0.9733333333333334,Two-stop,1.0,True
Baku,Sergio Pérez,Two-stop,0.954,Two-stop,1.0,True
Baku,George Russell,Two-stop,0.9753333333333334,Two-stop,0.9996666666666667,True
Baku,Fernando Alonso,Two-stop,0.953,Two-stop,1.0,True
Baku,Esteban Ocon,Two-stop,0.975,Two-stop,1.0,True
Baku,Pierre Gasly,Two-stop,0.9706666666666667,Two-stop,1.0,True
Bahrain,Max Verstappen,Two-stop,0.9996666666666667,Two-stop,1.0,True
Bahrain,Lewis Hamilton,Two-stop,0.9966666666666667,Two-stop,1.0,True
Bahrain,Charles Leclerc,Two-stop,1.0,Two-stop,1.0,True
Bahrain,Carlos Sainz,Two-stop,0.9996666666666667,Two-stop,1.0,True
Bahrain,Lando Norris,Two-stop,0.999,Two-stop,1.0,True
Bahrain,Sergio Pérez,Two-stop,0.998,Two-stop,1.0,True
Bahrain,George Russell,Two-stop,0.9996666666666667,Two-stop,1.0,True
Bahrain,Fernando Alonso,Two-stop,0.9976666666666667,Two-stop,1.0,True
Bahrain,Esteban Ocon,Two-stop,0.9986666666666667,Two-stop,1.0,True
Bahrain,Pierre Gasly,Two-stop,0.999,Two-stop,1.0,True
Barcelona,Max Verstappen,Two-stop,0.9983333333333333,Two-stop,1.0,True
Barcelona,Lewis Hamilton,Two-stop,0.9903333333333333,Two-stop,1.0,True
Barcelona,Charles Leclerc,Two-stop,0.999,Two-stop,1.0,True
Barcelona,Carlos Sainz,Two-stop,0.9966666666666667,Two-stop,1.0,True
Barcelona,Lando Norris,Two-stop,0.9966666666666667,Two-stop,0.9996666666666667,True
Barcelona,Sergio Pérez,Two-stop,0.9893333333333333,Two-stop,1.0,True
Barcelona,George Russell,Two-stop,0.996,Two-stop,1.0,True
Barcelona,Fernando Alonso,Two-stop,0.9916666666666667,Two-stop,1.0,True
Barcelona,Esteban Ocon,Two-stop,0.9966666666666667,Two-stop,1.0,True
Barcelona,Pierre Gasly,Two-stop,0.995,Two-stop,1.0,True
Silverstone,Max Verstappen,Two-stop,0.9963333333333333,Two-stop,1.0,True
Silverstone,Lewis Hamilton,Two-stop,0.9853333333333333,Two-stop,0.9996666666666667,True
Silverstone,Charles Leclerc,Two-stop,0.995,Two-stop,1.0,True
Silverstone,Carlos Sainz,Two-stop,0.9916666666666667,Two-stop,1.0,True
Silverstone,Lando Norris,Two-stop,0.9896666666666667,Two-stop,1.0,True
Silverstone,Sergio Pérez,Two-stop,0.984,Two-stop,1.0,True
Silverstone,George Russell,Two-stop,0.989,Two-stop,0.9996666666666667,True
Silverstone,Fernando Alonso,Two-stop,0.9853333333333333,Two-stop,1.0,True
Silverstone,Esteban Ocon,Two-stop,0.9906666666666667,Two-stop,1.0,True
Silverstone,Pierre Gasly,Two-stop,0.991,Two-stop,1.0,True
Monza,Max Verstappen,Two-stop,0.9816666666666667,Two-stop,0.9996666666666667,True
Monza,Lewis Hamilton,Two-stop,0.9583333333333334,Two-stop,1.0,True
Monza,Charles Leclerc,Two-stop,0.9823333333333333,Two-stop,1.0,True
Monza,Carlos Sainz,Two-stop,0.9753333333333334,Two-stop,1.0,True
Monza,Lando Norris,Two-stop,0.9763333333333334,Two-stop,1.0,True
Monza,Sergio Pérez,Two-stop,0.945,Two-stop,0.9996666666666667,True
Monza,George Russell,Two-stop,0.977,Two-stop,0.999,True
Monza,Fernando Alonso,Two-stop,0.9626666666666667,Two-stop,0.9996666666666667,True
Monza,Esteban Ocon,Two-stop,0.973,Two-stop,0.9996666666666667,True
Monza,Pierre Gasly,Two-stop,0.977,Two-stop,0.9996666666666667,True
Spa,Max Verstappen,Two-stop,0.9986666666666667,Two-stop,1.0,True
Spa,Lewis Hamilton,Two-stop,0.994,Two-stop,1.0,True
Spa,Charles Leclerc,Two-stop,0.9996666666666667,Two-stop,1.0,True
Spa,Carlos Sainz,Two-stop,0.9976666666666667,Two-stop,1.0,True
Spa,Lando Norris,Two-stop,0.9973333333333333,Two-stop,1.0,True
Spa,Sergio Pérez,Two-stop,0.9953333333333333,Two-stop,1.0,True
Spa,George Russell,Two-stop,0.997,Two-stop,1.0,True
Spa,Fernando Alonso,Two-stop,0.9963333333333333,Two-stop,1.0,True
Spa,Esteban Ocon,Two-stop,0.9996666666666667,Two-stop,1.0,True
Spa,Pierre Gasly,Two-stop,0.9983333333333333,Two-stop,1.0,True
Mexico,Max Verstappen,Two-stop,0.9953333333333333,Two-stop,0.9996666666666667,True
Mexico,Lewis Hamilton,Two-stop,0.981,Two-stop,0.9996666666666667,True
Mexico,Charles Leclerc,Two-stop,0.9953333333333333,Two-stop,1.0,True
Mexico,Carlos Sainz,Two-stop,0.9916666666666667,Two-stop,1.0,True
Mexico,Lando Norris,Two-stop,0.9946666666666667,Two-stop,1.0,True
Mexico,Sergio Pérez,Two-stop,0.9866666666666667,Two-stop,1.0,True
Mexico,George Russell,Two-stop,0.9953333333333333,Two-stop,1.0,True
Mexico,Fernando Alonso,Two-stop,0.9843333333333333,Two-stop,0.9993333333333333,True
Mexico,Esteban Ocon,Two-stop,0.991,Two-stop,1.0,True
Mexico,Pierre Gasly,Two-stop,0.9923333333333333,Two-stop,0.9996666666666667,True
AbuDhabi,Max Verstappen,Two-stop,0.9953333333333333,Two-stop,1.0,True
AbuDhabi,Lewis Hamilton,Two-stop,0.9886666666666667,Two-stop,0.9996666666666667,True
AbuDhabi,Charles Leclerc,Two-stop,0.9953333333333333,Two-stop,1.0,True
AbuDhabi,Carlos Sainz,Two-stop,0.9863333333333333,Two-stop,1.0,True
AbuDhabi,Lando Norris,Two-stop,0.9943333333333333,Two-stop,1.0,True
AbuDhabi,Sergio Pérez,Two-stop,0.9806666666666667,Two-stop,1.0,True
AbuDhabi,George Russell,Two-stop,0.9906666666666667,Two-stop,1.0,True
AbuDhabi,Fernando Alonso,Two-stop,0.9873333333333333,Two-stop,1.0,True
AbuDhabi,Esteban Ocon,Two-stop,0.991,Two-stop,1.0,True
AbuDhabi,Pierre Gasly,Two-stop,0.9933333333333333,Two-stop,1.0,True
Suzuka,Max Verstappen,Two-stop,0.9993333333333333,Two-stop,1.0,True
Suzuka,Lewis Hamilton,Two-stop,0.993,Two-stop,1.0,True
Suzuka,Charles Leclerc,Two-stop,0.9993333333333333,Two-stop,1.0,True
Suzuka,Carlos Sainz,Two-stop,0.996,Two-stop,1.0,True
Suzuka,Lando Norris,Two-stop,0.9963333333333333,Two-stop,1.0,True
Suzuka,Sergio Pérez,Two-stop,0.997,Two-stop,1.0,True
Suzuka,George Russell,Two-stop,0.9993333333333333,Two-stop,1.0,True
Suzuka,Fernando Alonso,Two-stop,0.994,Two-stop,1.0,True
Suzuka,Esteban Ocon,Two-stop,0.999,Two-stop,1.0,True
Suzuka,Pierre Gasly,Two-stop,0.9983333333333333,Two-stop,1.0,True
Hungaroring,Max Verstappen,Two-stop,1.0,Two-stop,1.0,True
Hungaroring,Lewis Hamilton,Two-stop,0.9966666666666667,Two-stop,1.0,True
Hungaroring,Charles Leclerc,Two-stop,0.9996666666666667,Two-stop,1.0,True
Hungaroring,Carlos Sainz,Two-stop,0.999,Two-stop,1.0,True
Hungaroring,Lando Norris,Two-stop,0.9986666666666667,Two-stop,0.9996666666666667,True
Hungaroring,Sergio Pérez,Two-stop,0.998,Two-stop,1.0,True
Hungaroring,George Russell,Two-stop,0.999,Two-stop,1.0,True
Hungaroring,Fernando Alonso,Two-stop,0.9973333333333333,Two-stop,1.0,True
Hungaroring,Esteban Ocon,Two-stop,0.9993333333333333,Two-stop,1.0,True
Hungaroring,Pierre Gasly,Two-stop,0.9986666666666667,Two-stop,1.0,True
